snapshot,CCGT,OCGT,biomass,coal,geothermal,lignite,nuclear,offwind-ac,offwind-dc,offwind-float,oil,onwind,ror,solar,solar-hsat
2019-04-05 10:00:00,0.17230822311928662,0.0023185392214974936,6972.471821970105,55497.782864473316,58.9995265118043,33496.13147246798,64897.12601341665,0.08175825030079867,0.07575554027097614,0.046821778792037194,0.0064462898002398605,43531.04840837518,14740.428542558284,5126.714805093818,120652.48872867275
2019-04-05 11:00:00,0.16815664233003194,0.002281050789310498,6972.471341622366,55611.90163091213,58.999521293285504,33496.13113193795,64897.12549815392,0.08194436816799772,0.0715497893502939,0.04542401198950837,0.006436474613091049,47869.9077462146,14776.229079656538,5144.319266727665,116768.15380581113
2019-04-05 12:00:00,0.16793719463202755,0.0022798931214743226,6972.471307938721,55612.82513039484,58.99952069098318,33496.13111161137,64897.125471473104,0.08143172727990935,0.06770276485918181,0.04575237831096458,0.006426027058281196,48421.91757222027,14813.03448223202,5068.257116081165,113563.5098925951
2019-04-05 13:00:00,0.16753102788450477,0.0022797309883588646,6972.471078703318,55520.798281644056,58.99951918803472,33496.13109284904,64897.125444051344,0.08150559981545956,0.06519892605459121,0.04792145119079805,0.0064198626754600535,45818.99767322247,14839.331677264707,4845.495463737467,111934.35084473414
2019-04-05 14:00:00,236.13010896853353,0.0022992736122247437,6972.471385935563,55847.82916283794,58.9995482059767,33496.13123017316,64897.12575460228,0.08385976163173448,0.06467590298987481,0.051286106910010607,0.006518054117882096,42672.31347139684,14858.2982226844,4017.3894231309487,101750.73054499645
2019-04-05 15:00:00,288.35541704578225,0.00231179408202579,6972.471150309727,56599.923377166044,58.99956131085068,33496.131180194745,64897.12595273588,0.08622746720239315,0.06582191967520434,0.05339891028329503,0.006518727932416315,40369.28335751184,14870.540915626229,3043.627298085209,89349.16974803573
2019-04-05 16:00:00,441.2942608587577,0.004270659145552585,6972.480892097863,56600.059907360446,58.99961465317029,33496.137558852155,64897.13488329779,0.09171173189119787,0.07031852259239202,0.055896528144489276,0.007025862078950323,40315.55835962124,14883.667629585188,1740.7541189576314,64110.73954360152
2019-04-05 17:00:00,23553.623538555305,0.004301198377093456,6972.48043842624,56600.05914115944,58.99964135626232,33496.13751057515,64897.135012090526,0.09602881793175597,0.07255619101492863,0.057112355730859,0.007036600947577022,42456.21828332431,14895.25218711885,561.6309747266969,24235.029979452745
2019-04-05 18:00:00,27292.396378019628,0.00430114863824759,6972.480415221522,56600.05911125011,58.99964229426506,33496.137495493174,64897.13500317389,0.0988939503282754,0.07499517683121129,0.05747714813074232,0.006976596569810591,44939.769521809285,14901.370547638611,0.0,2202.0708538615636
2019-04-05 19:00:00,20020.80991655519,0.004293185618743886,6972.480432816144,56600.05935970989,58.99964324259583,33496.13749168889,64897.135014919004,0.09979638145253769,0.07766260641087977,0.057291059513372995,0.006970886569058281,47556.45001403967,14907.691544777303,0.0,0.0
2019-04-05 20:00:00,14881.117328217722,0.0042277537464996745,6972.480469705553,56600.05925214231,58.999640239897204,33496.137437049925,64897.13498605994,0.09756462482503873,0.0787147564318116,0.05713862901314418,0.006965729051338259,47264.01343644848,14913.58330056196,0.0,0.0
2019-04-05 21:00:00,5330.5548718836735,0.004101952163698423,6972.48047102382,56600.05906809117,58.999641926596375,33496.13733468989,64897.134928216896,0.09503312813476272,0.0781766239511675,0.05815676248078138,0.006995428195210518,45629.41599431517,14918.958927095064,0.0,0.0
2019-04-05 22:00:00,1448.562335232161,0.003764644972077053,6972.479801761448,56600.05237784309,58.99964187238796,33496.13635821554,64897.134408572594,0.08368983188343722,0.07384660820604606,0.053759598076513634,0.006884988332420877,40599.41106425782,14924.486192731334,0.0,0.0
2019-04-05 23:00:00,1364.640825243357,0.0037297882455248326,6972.47984498345,56600.0519272069,58.99964178205545,33496.13627384119,64897.134385379715,0.07994407096734416,0.0719148829148046,0.053462710198055985,0.0068828122383447115,37216.70811979088,14929.86993980645,0.0,0.0
2019-04-06 00:00:00,1306.350232331289,0.0037354633365546445,6972.479887440471,56600.04994207688,58.99964277676798,33496.13597363406,64897.134573224874,0.07472870505045509,0.06861310642736698,0.05308245967781005,0.006897825111451562,33606.68030193519,14936.216155987837,0.0,0.0
