name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,v_nom,i_nom,dc,overnight_cost
23,CH0 1,FR0 0,Al/St 240/40 4-bundle 380.0,98.29637654565911,11.987362993373063,0.0,0.001919482470616254,1787.4764334110814,0.0,True,1787.4764334110819,21787.47643341108,,0.7,17706.713741607382,True,0,inf,420.6092278376514,AC,1.0,1.0526315789473686,-inf,inf,0,0.0006807228292635672,8.301497917848382e-05,0.0,0.0,0.0006807228292635672,8.301497917848382e-05,1787.4800790536292,380.0,2.58,0.0,185968.75284905816
24,CH0 1,IT0 1,Al/St 240/40 4-bundle 380.0,8.954268265198248,1.0919839347802742,0.0,0.00491166210471712,9473.625097078731,0.0,True,9473.625097078733,29473.62509707873,,0.7,8549.65146466882,True,0,inf,203.0706966433493,AC,1.0,5.578947368421054,-inf,inf,0,6.201016804153911e-05,7.562215614821843e-06,0.0,0.0,6.201016804153911e-05,7.562215614821843e-06,14520.857524143907,380.0,2.58,0.0,89785.96211286575
25,CZ0 0,CZ0 1,Al/St 240/40 4-bundle 380.0,7.57375617296155,0.9236288015806768,0.0,0.006345130532667795,11707.970638842584,0.0,True,11707.970638842584,31707.970638842584,,0.7,8938.073412748405,True,0,inf,212.27258422292752,AC,1.0,6.894736842105264,-inf,inf,0,5.244983499280852e-05,6.396321340586405e-06,0.0,0.0,5.244983499280852e-05,6.396321340586405e-06,11707.992040490253,380.0,2.58,0.0,93854.49756994308
26,CZ0 0,CZ0 1,Al/St 240/40 4-bundle 380.0,26.109491138294338,3.1840842851578457,0.0,0.0018405748042157717,3396.21,0.0,True,3396.21,23396.21,,0.7,8937.809773146962,True,2026,inf,212.27258422292752,AC,1.0,2.000002812856486,-inf,inf,0,0.00018081365054220457,2.2050445188073723e-05,0.0,0.0,0.00018081365054220457,2.2050445188073723e-05,3396.2135029976007,380.0,2.58,,93854.49756994308
27,CZ0 0,PL0 0,Al/St 240/40 4-bundle 380.0,44.49803403660895,5.426589516659629,0.0,0.002087617177219465,2770.588471787176,0.0,True,2770.588471787177,22770.588471787174,,0.7,12429.035173243952,True,0,inf,295.1303070464009,AC,1.0,1.6315789473684212,-inf,inf,0,0.0003081581304474304,3.758025981066225e-05,0.0,0.0,0.0003081581304474304,3.758025981066225e-05,3429.2868532241673,380.0,2.58,0.0,130489.32713992555
28,CZ0 0,PL0 1,Al/St 240/40 4-bundle 380.0,75.09448536142331,9.157864068466257,0.0,0.0014664075457984564,1787.4764334110814,0.0,True,1787.4764334110819,21787.47643341108,,0.7,13532.16919211745,True,0,inf,321.32856380583365,AC,1.0,1.0526315789473686,-inf,inf,0,0.0005200449124752307,6.342011127746715e-05,0.0,0.0,0.0005200449124752307,6.342011127746715e-05,1787.4776921689445,380.0,2.58,0.0,142072.6610611006
29,CZ0 1,DE0 6,Al/St 240/40 4-bundle 380.0,25.011307658538026,3.050159470553418,0.0,0.001763153979634104,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,,0.7,8560.62954349779,True,0,inf,203.34396470356126,AC,1.0,2.0000000000000004,-inf,inf,0,0.00017320850179042955,2.1122988023223114e-05,0.0,0.0,0.00017320850179042955,2.1122988023223114e-05,3396.207547023962,380.0,2.58,0.0,89906.78523558316
3,AT0 0,DE0 6,Al/St 240/40 4-bundle 380.0,103.31220883666602,12.599049858130002,0.0,0.0006102723131974236,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,,0.7,10240.190599476728,True,0,inf,243.13955866566673,AC,1.0,0.5789473684210527,-inf,inf,0,0.0007154585099492107,8.725103779868422e-05,0.0,0.0,0.0007154585099492107,8.725103779868422e-05,983.1164305609284,380.0,2.58,0.0,107502.06486382001
30,CZ0 1,DE0 8,Al/St 240/40 4-bundle 380.0,22.22498896596917,2.710364508045021,0.0,0.001566734465772555,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,,0.7,7608.539368169134,True,0,inf,180.69096720300143,AC,1.0,2.0000000000000004,-inf,inf,0,0.00015391266596931558,1.876983731333117e-05,0.0,0.0,0.00015391266596931558,1.876983731333117e-05,3396.2079978107176,380.0,2.58,0.0,79890.95720648914
31,DE0 0,DE0 4,Al/St 240/40 4-bundle 380.0,29.88448007987158,3.6444487902282416,0.0,0.0021066847324208078,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,,0.7,10231.037218550047,True,0,inf,242.96325268188284,AC,1.0,2.0000000000000004,-inf,inf,0,0.0002069562332401079,2.523856502928145e-05,0.0,0.0,0.0002069562332401079,2.523856502928145e-05,3396.2139935546797,380.0,2.58,0.0,107424.11268932142
